Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Velocity (cm/s)
8.083	-36.264
8.100	-29.624
8.117	-22.474
8.133	-14.838
8.150	-6.640
8.167	1.532
8.183	9.934
8.200	18.643
8.217	26.560
8.233	32.919
8.250	38.307
8.267	43.389
8.283	48.267
8.300	52.098
8.317	55.392
8.333	57.461
8.350	58.202
8.367	57.972
8.383	56.669
8.400	54.141
8.417	51.051
8.433	46.224
8.450	41.602
8.467	35.498
8.483	29.369
8.500	21.937
8.517	14.557
8.533	6.640
8.550	-1.558
8.567	-9.960
8.583	-18.898
8.600	-27.070
8.617	-32.970
8.633	-28.092
8.650	-26.815
8.667	-45.203
8.683	-51.587
8.700	-54.141
8.717	-38.588
8.733	-54.907
8.750	-55.673
8.767	-54.907
8.783	-54.396
8.800	-53.375
8.817	-69.719
8.833	-49.570
8.850	-35.498
8.867	-29.369
8.883	-29.880
8.900	-17.877
8.917	-6.410
8.933	3.065
8.950	20.941
8.967	18.107
8.983	25.538
9.000	33.685
9.017	56.439
9.033	57.461
9.050	47.220
9.067	40.350
9.083	43.389
9.100	39.073
9.117	46.199
9.133	59.759
9.150	59.734
9.167	54.396
9.183	49.289
9.200	44.922
9.217	39.840
9.233	33.685
9.250	27.070
9.267	20.175
9.283	12.744
9.300	5.108
9.317	-2.809
9.333	-10.241
9.350	-18.132
9.367	-24.261
9.383	-31.923
9.400	-38.077
9.417	-43.670
9.433	-48.523
9.450	-51.587
9.467	-54.396
9.483	-56.439
9.500	-56.695
9.517	-56.465
9.533	-54.907
9.550	-52.864
9.567	-49.033
9.583	-44.436
9.600	-39.840
9.617	-33.991
9.633	-29.114
9.650	-24.772
9.667	-13.791
9.683	6.104
9.700	16.600
9.717	14.301
9.733	16.064
9.750	25.283
9.767	45.203
9.783	42.623
9.800	47.501
9.817	49.774
9.833	52.098
9.850	53.349
9.867	52.098
9.883	51.562
9.900	48.778
9.917	56.184
9.933	52.839
9.950	46.735
9.967	29.343
9.983	39.073
10.000	23.495
10.017	27.300
10.033	21.197
10.050	12.233
10.067	4.597
10.083	-4.086
10.100	-11.492
10.117	-18.924
10.133	-25.283
10.150	-32.433
10.167	-37.286
10.183	-32.944
10.200	-47.271
10.217	-34.987
10.233	-52.098
10.250	-55.418
10.267	-56.695
10.283	-55.929
10.300	-36.801
10.317	-48.012
10.333	-46.990
10.350	-44.181
10.367	-40.606
10.383	-35.753
10.400	-33.481
10.417	-20.175
10.433	-9.705
10.450	1.277
10.467	4.316
10.483	8.683
10.500	5.618
10.517	14.276
10.533	14.812
10.550	26.560
10.567	46.454
10.583	51.076
10.600	50.795
10.617	52.864
10.633	54.626
10.650	55.162
10.667	54.882
10.683	53.886
10.700	51.051
10.717	50.310
10.733	51.076
10.750	41.091
10.767	31.412
10.783	27.811
10.800	20.175
10.817	12.003
10.833	10.700
10.850	-5.108
10.867	-8.938
10.883	-22.474
10.900	-30.671
10.917	-30.646
10.933	-39.329
10.950	-44.181
10.967	-54.652
10.983	-53.119
11.000	-53.400
11.017	-54.396
11.033	-53.886
11.050	-54.396
11.067	-52.353
11.083	-49.799
11.100	-47.246
11.117	-48.548
11.133	-28.858
11.150	-13.791
11.167	-15.323
11.183	-6.410
11.200	-11.748
11.217	-31.412
11.233	-1.022
11.250	11.211
11.267	18.898
11.283	27.837
11.300	50.285
11.317	50.821
11.333	44.411
11.350	46.479
11.367	47.986
11.383	45.203
11.400	40.836
11.417	55.418
11.433	54.141
11.450	49.774
11.467	34.732
11.483	46.199
11.500	30.901
11.517	37.260
11.533	32.433
11.550	26.049
11.567	19.894
11.583	12.003
11.600	4.341
11.617	-3.346
11.633	-10.981
11.650	-18.387
11.667	-25.283
11.683	-32.204
11.700	-38.052
11.717	-43.670
11.733	-47.246
11.750	-49.799
11.767	-41.372
11.783	-40.631
11.800	-50.055
11.817	-53.630
11.833	-53.119
11.850	-50.055
11.867	-47.246
11.883	-42.393
11.900	-37.567
11.917	-31.923
11.933	-26.560
11.950	-19.154
11.967	-10.496
11.983	-5.618
12.000	-12.514
12.017	-0.511
12.033	18.873
12.050	29.369
12.067	32.919
12.083	37.030
12.100	41.372
12.117	45.688
12.133	49.544
12.150	52.072
12.167	53.375
12.183	53.605
12.200	53.630
12.217	52.072
12.233	49.289
12.250	46.735
12.267	43.134
12.283	36.775
12.300	33.685
12.317	23.751
12.333	17.366
12.350	10.445
12.367	2.043
12.383	-4.341
12.400	-11.262
12.417	-18.132
12.433	-24.517
12.450	-30.390
12.467	-36.264
12.483	-41.142
12.500	-45.458
12.517	-48.523
12.533	-52.864
12.550	-57.716
12.567	-44.436
12.583	-34.477
12.600	-36.034
12.617	-41.372
12.633	-45.203
12.650	-56.950
12.667	-53.630
12.683	-32.433
12.700	-24.798
12.717	-17.111
12.733	-10.726
12.750	-3.346
12.767	4.086
12.783	11.748
12.800	18.617
12.817	25.794
12.833	38.307
12.850	58.202
12.867	47.501
12.883	46.199
12.900	47.246
12.917	42.879
12.933	39.584
12.950	54.141
12.967	46.709
12.983	39.073
13.000	38.282
13.017	46.224
13.033	43.670
13.050	38.537
13.067	31.412
13.083	24.491
13.100	17.366
13.117	9.960
13.133	3.039
13.150	-4.597
13.167	-11.492
13.183	-18.387
13.200	-25.564
13.217	-30.901
13.233	-37.030
13.250	-41.883
13.267	-46.224
13.283	-49.314
13.300	-51.587
13.317	-52.864
13.333	-53.375
13.350	-53.119
13.367	-51.843
13.383	-49.544
13.400	-47.016
13.417	-42.649
13.433	-36.775
13.450	-31.157
13.467	-24.517
13.483	-17.902
13.500	-10.215
13.517	-3.065
13.533	4.341
13.550	11.977
13.567	18.643
13.583	25.257
13.600	31.923
13.617	37.797
13.633	42.623
13.650	46.990
13.667	50.029
13.683	52.353
13.700	53.605
13.717	53.630
13.733	52.609
13.750	50.795
13.767	48.267
13.783	43.900
13.800	39.840
13.817	34.451
13.833	28.858
13.850	22.729
13.867	16.064
13.883	19.409
13.900	3.065
13.917	-2.324
13.933	2.043
13.950	-17.621
13.967	-24.517
13.983	-30.416
14.000	-36.009
14.017	-41.116
14.033	-45.203
14.050	-49.033
14.067	-51.843
14.083	-36.034
14.100	-48.012
14.117	-50.310
14.133	-49.289
14.150	-48.267
14.167	-45.969
14.183	-59.504
14.200	-47.016
14.217	-31.412
14.233	-23.240
14.250	-16.600
14.267	-9.475
14.283	-2.043
14.300	5.363
14.317	14.787
14.333	43.670
14.350	32.433
14.367	30.110
14.383	27.837
14.400	28.603
14.417	45.688
14.433	31.667
14.450	40.325
14.467	55.929
14.483	55.137
14.500	51.587
14.517	49.263
14.533	46.735
14.550	43.160
14.567	38.793
14.583	33.710
14.600	28.066
14.617	21.707
14.633	15.323
14.650	8.147
14.667	1.277
14.683	-5.874
14.700	-12.769
14.717	-19.435
14.733	-25.794
14.750	-31.923
14.767	-36.775
14.783	-41.883
14.800	-45.484
14.817	-48.012
14.833	-50.566
14.850	-51.332
14.867	-51.587
14.883	-50.821
14.900	-48.778
14.917	-45.994
14.933	-42.393
14.950	-39.329
14.967	-36.775
14.983	-31.412
15.000	-12.028
15.017	1.788
15.033	-8.172
15.050	12.999
15.067	14.557
15.083	15.068
15.100	20.405
15.117	26.304
15.133	32.178
15.150	37.771
15.167	42.393
15.183	45.688
15.200	47.756
15.217	48.778
15.233	45.177
15.250	37.030
15.267	51.817
15.283	48.778
15.300	44.411
15.317	29.369
15.333	34.732
15.350	32.663
15.367	16.600
15.383	20.916
15.400	14.557
15.417	8.172
15.433	0.766
15.450	-6.410
15.467	-12.258
15.483	-19.409
15.500	-26.560
15.517	-31.182
15.533	-37.541
15.550	-41.627
15.567	-45.203
15.583	-36.775
15.600	-48.803
15.617	-33.966
15.633	-50.310
15.650	-50.566
15.667	-48.523
15.683	-36.264
15.700	-33.225
15.717	-34.987
15.733	-31.667
15.750	-27.326
15.767	-21.452
15.783	-15.348
15.800	-9.194
15.817	-4.852
15.833	-9.705
15.850	9.168
15.867	19.409
15.883	8.938
15.900	20.660
15.917	40.095
15.933	44.156
15.950	44.692
15.967	46.990
15.983	49.008
16.000	50.055
16.017	50.029
16.033	49.544
16.050	47.475
16.067	45.203
16.083	42.623
16.100	37.541
16.117	37.286
16.133	28.577
16.150	22.984
16.167	14.812
16.183	8.147
16.200	1.022
16.217	-7.917
16.233	-12.539
16.250	-22.729
16.267	-32.689
16.283	-30.646
16.300	-36.775
16.317	-40.376
16.333	-43.670
16.350	-46.735
16.367	-48.523
16.383	-49.544
16.400	-49.289
16.417	-49.289
16.433	-52.123
16.450	-46.735
16.467	-12.258
16.483	-37.030
16.500	-10.241
16.517	-24.517
16.533	-23.495
16.550	-34.732
16.567	-15.068
16.583	-1.047
16.600	7.151
16.617	19.154
16.633	35.728
16.650	33.966
16.667	32.919
16.683	36.009
16.700	38.052
16.717	37.516
16.733	31.667
16.750	49.008
16.767	48.267
16.783	33.455
16.800	37.260
16.817	48.012
16.833	46.199
16.850	43.415
16.867	38.282
16.883	32.178
16.900	26.560
16.917	20.150
16.933	13.535
16.950	7.151
16.967	0.485
16.983	-6.129
17.000	-13.024
17.017	-19.409
17.033	-25.053
17.050	-31.412
17.067	-36.520
17.083	-41.116
17.100	-44.947
17.117	-48.267
17.133	-50.336
17.150	-50.055
17.167	-50.566
17.183	-49.033
17.200	-36.264
17.217	-44.181
17.233	-30.416
17.250	-32.689
17.267	-30.901
17.283	-28.092
17.300	-24.772
17.317	-24.031
17.333	-7.661
17.350	-11.492
17.367	6.385
17.383	14.020
17.400	21.197
17.417	28.833
17.433	32.178
17.450	36.264
17.467	40.069
17.483	43.926
17.500	46.454
17.517	48.267
17.533	49.544
17.550	49.263
17.567	48.523
17.583	46.454
17.600	44.181
17.617	40.580
17.633	36.009
17.650	31.412
17.667	25.768
17.683	20.175
17.700	13.535
17.717	7.125
17.733	0.511
17.750	-6.385
17.767	-12.795
17.783	-18.387
17.800	-26.815
17.817	-32.944
17.833	-39.073
17.850	-31.182
17.867	-28.347
17.883	-42.138
17.900	-48.778
17.917	-48.267
17.933	-30.416
17.950	-44.947
17.967	-44.947
17.983	-43.160
18.000	-40.606
18.017	-37.797
18.033	-43.696
18.050	-36.009
18.067	-25.794
18.083	-14.046
18.100	-6.385
18.117	1.762
18.133	14.812
18.150	27.581
18.167	27.300
18.183	27.070
18.200	30.620
18.217	33.710
18.233	30.901
18.250	32.153
18.267	47.246
18.283	46.199
18.300	33.710
18.317	37.541
18.333	48.752
18.350	47.501
18.367	44.922
18.383	41.627
18.400	36.494
18.417	30.390
18.433	25.538
18.450	18.362
18.467	12.003
18.483	6.129
18.500	-1.302
18.517	-7.917
18.533	-14.046
18.550	-20.941
18.567	-26.074
18.583	-31.923
18.600	-36.264
18.617	-40.861
18.633	-43.670
18.650	-46.224
18.667	-48.037
18.683	-48.523
18.700	-48.523
18.717	-47.756
18.733	-45.458
18.750	-42.904
18.767	-39.865
18.783	-36.264
18.800	-32.944
18.817	-26.049
18.833	-19.664
18.850	-12.539
18.867	-4.597
18.883	11.237
18.900	14.020
18.917	21.452
18.933	24.261
18.950	27.300
18.967	32.433
18.983	36.775
19.000	40.836
19.017	43.926
19.033	46.454
19.050	48.523
19.067	48.752
19.083	48.778
19.100	47.475
19.117	45.458
19.133	42.138
19.150	38.537
19.167	34.221
19.183	28.577
19.200	22.729
19.217	4.597
19.233	10.445
19.250	4.852
19.267	-1.532
19.283	-8.172
19.300	-14.838
19.317	-20.686
19.333	-26.304
19.350	-31.667
19.367	-35.753
19.383	-25.053
19.400	-41.372
19.417	-45.203
19.433	-47.501
19.450	-48.267
19.467	-47.756
19.483	-29.139
19.500	-40.095
19.517	-40.350
19.533	-37.286
19.550	-34.477
19.567	-29.905
19.583	-29.880
19.600	-25.794
19.617	-12.514
19.633	-3.856
19.650	10.215
19.667	13.791
19.683	16.064
19.700	18.643
19.717	22.729
19.733	11.977
19.750	36.775
19.767	31.412
19.783	22.703
19.800	46.735
19.817	51.562
19.833	48.778
19.850	46.965
19.867	45.458
19.883	43.670
19.900	40.836
19.917	37.286
19.933	32.408
19.950	28.092
19.967	22.474
19.983	17.085
20.000	9.960
20.017	5.108
20.033	-2.579
20.050	-7.406
20.067	-15.578
20.083	-21.197
20.100	-25.819
20.117	-31.923
20.133	-35.753
20.150	-39.840
20.167	-42.649
20.183	-44.692
20.200	-45.994
20.217	-46.990
20.233	-45.969
20.250	-44.947
20.267	-42.904
20.283	-42.649
20.300	-41.908
20.317	-33.710
20.333	-0.766
20.350	-21.963
20.367	2.528
20.383	-5.108
20.400	-3.320
20.417	1.022
20.433	2.273
20.450	11.237
20.467	25.027
20.483	33.174
20.500	32.689
20.517	36.749
20.533	38.818
20.550	40.861
20.567	40.069
20.583	29.369
20.600	46.965
20.617	46.479
20.633	29.114
20.650	40.580
20.667	29.880
20.683	37.771
20.700	35.753
20.717	28.347
20.733	23.214
20.750	16.855
20.767	10.726
20.783	4.316
20.800	-2.298
20.817	-8.938
20.833	-14.327
20.850	-20.941
20.867	-26.815
20.883	-31.412
20.900	-37.541
20.917	-41.397
20.933	-42.904
20.950	-33.455
20.967	-30.646
20.983	-43.415
21.000	-46.990
21.017	-44.973
21.033	-32.944
21.050	-31.923
21.067	-34.732
21.083	-31.412
21.100	-27.862
21.117	-23.240
21.133	-18.387
21.150	-14.557
21.167	-11.262
21.183	-8.938
21.200	10.471
21.217	-3.320
21.233	8.913
21.250	27.070
21.267	36.009
21.283	36.494
21.300	39.073
21.317	41.857
21.333	43.926
21.350	45.432
21.367	45.969
21.383	45.713
21.400	44.666
21.417	42.649
21.433	39.814
21.450	36.264
21.467	32.178
21.483	27.300
21.500	22.218
21.517	15.808
21.533	10.215
21.550	3.831
21.567	-2.298
21.583	-8.453
21.600	-14.557
21.617	-20.175
21.633	-25.283
21.650	-30.671
21.667	-34.732
21.683	-38.307
21.700	-41.883
21.717	-45.203
21.733	-48.778
21.750	-48.548
21.767	-34.732
21.783	-26.304
21.800	-42.904
21.817	-21.197
21.833	-32.204
21.850	-30.390
21.867	-26.815
21.883	-22.474
21.900	-17.366
21.917	-11.773
21.933	-2.809
21.950	3.831
21.967	9.934
21.983	15.578
22.000	20.175
22.017	25.257
22.033	28.092
22.050	26.815
22.067	27.811
22.083	42.138
22.100	44.411
22.117	38.052
22.133	36.520
22.150	34.196
22.167	44.436
22.183	42.623
22.200	39.840
22.217	36.520
22.233	32.919
22.250	27.070
22.267	21.682
22.283	16.855
22.300	9.449
22.317	3.550
22.333	-3.575
22.350	-9.194
22.367	-15.834
22.383	-20.967
22.400	-26.049
22.417	-32.178
22.433	-35.498
22.450	-39.840
22.467	-42.164
22.483	-44.436
22.500	-45.458
22.517	-46.990
22.533	-45.969
22.550	-44.436
22.567	-42.393
22.583	-40.120
22.600	-36.009
22.617	-31.157
22.633	-26.815
22.650	-21.197
22.667	-15.348
22.683	-9.194
22.700	-3.320
22.717	3.294
22.733	9.960
22.750	15.578
22.767	21.937
22.783	27.326
22.800	32.178
22.817	38.026
22.833	40.350
22.850	42.368
22.867	44.692
22.883	45.458
22.900	46.199
22.917	46.224
22.933	43.900
22.950	41.627
22.967	38.793
22.983	34.987
23.000	30.646
23.017	25.768
23.033	20.175
23.050	14.557
23.067	7.381
23.083	2.298
23.100	-4.597
23.117	-9.705
23.133	-16.370
23.150	-21.963
23.167	-27.326
23.183	-31.923
23.200	-36.290
23.217	-39.073
23.233	-30.901
23.250	-43.415
23.267	-28.858
23.283	-43.415
23.300	-45.228
23.317	-43.415
23.333	-40.861
23.350	-23.751
23.367	-29.369
23.383	-28.373
23.400	-24.006
23.417	-19.409
23.433	-14.557
23.450	-8.453
23.467	-2.298
23.483	4.341
23.500	10.215
23.517	16.319
23.533	21.452
23.550	25.768
23.567	29.880
23.583	31.157
23.600	22.193
23.617	40.861
23.633	44.436
23.650	34.706
23.667	25.283
23.683	45.177
23.700	44.947
23.717	43.926
23.733	38.537
23.750	33.710
23.767	29.088
23.783	24.517
23.800	18.898
23.817	12.999
23.833	7.661
23.850	1.532
23.867	-4.878
23.883	-10.726
23.900	-16.600
23.917	-21.707
23.933	-26.841
23.950	-31.412
23.967	-35.498
23.983	-38.563
24.000	-41.116
24.017	-43.160
24.033	-43.696
24.050	-44.181
24.067	-43.670
24.083	-41.883
24.100	-39.584
24.117	-36.775
24.133	-34.502
24.150	-31.923
24.167	-27.326
24.183	-19.920
24.200	-2.324
24.217	9.449
24.233	-0.766
24.250	3.575
24.267	11.467
24.283	27.837
24.300	24.261
24.317	27.045
24.333	31.157
24.350	33.429
24.367	28.347
24.383	41.116
24.400	43.389
24.417	44.692
24.433	42.879
24.450	27.070
24.467	41.372
24.483	29.088
24.500	37.286
24.517	33.685
24.533	30.390
24.550	25.794
24.567	19.894
24.583	13.024
24.600	7.661
24.617	1.507
24.633	-4.086
24.650	-10.726
24.667	-16.855
24.683	-21.988
24.700	-27.581
24.717	-33.710
24.733	-35.498
24.750	-39.329
24.767	-29.650
24.783	-27.837
24.800	-39.584
24.817	-43.670
24.833	-42.904
24.850	-22.755
24.867	-36.009
24.883	-35.498
24.900	-32.178
24.917	-29.624
24.933	-25.308
24.950	-19.664
24.967	-13.280
24.983	-6.385
25.000	-0.536
25.017	4.341
25.033	7.661
25.050	5.363
25.067	10.190
25.083	20.175
25.100	8.172
25.117	36.494
25.133	42.649
25.150	41.857
25.167	41.627
25.183	42.879
25.200	42.904
25.217	42.393
25.233	41.091
25.250	38.818
25.267	35.728
25.283	32.178
25.300	28.603
25.317	23.214
25.333	18.643
25.350	12.769
25.367	6.870
25.383	0.766
25.400	-4.341
25.417	-11.237
25.433	-16.115
25.450	-21.452
25.467	-26.049
25.483	-30.646
25.500	-33.991
25.517	-37.541
25.533	-39.840
