Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
12.900	24.313	0.239
12.917	25.027	0.239
12.933	25.687	0.239
12.950	26.590	0.239
12.967	27.368	0.239
12.983	28.019	0.239
13.000	28.657	0.239
13.017	29.428	0.239
13.033	30.155	0.239
13.050	30.798	0.239
13.067	31.321	0.239
13.083	31.729	0.239
13.100	32.019	0.239
13.117	32.185	0.239
13.133	32.236	0.239
13.150	32.159	0.239
13.167	31.967	0.239
13.183	31.661	0.239
13.200	31.235	0.239
13.217	30.720	0.239
13.233	30.103	0.239
13.250	29.405	0.239
13.267	28.634	0.239
13.283	27.812	0.239
13.300	26.953	0.239
13.317	26.072	0.239
13.333	25.182	0.239
13.350	24.297	0.239
13.367	23.433	0.239
13.383	22.607	0.239
13.400	21.823	0.239
13.417	21.112	0.239
13.433	20.500	0.239
13.450	19.980	0.239
13.467	19.572	0.239
13.483	19.273	0.239
13.500	19.103	0.239
13.517	19.052	0.239
13.533	19.124	0.239
13.550	19.324	0.239
13.567	19.635	0.239
13.583	20.056	0.239
13.600	20.588	0.239
13.617	21.218	0.239
13.633	21.928	0.239
13.650	22.711	0.239
13.667	23.545	0.239
13.683	24.417	0.239
13.700	25.311	0.239
13.717	26.205	0.239
13.733	27.082	0.239
13.750	27.928	0.239
13.767	28.733	0.239
13.783	29.464	0.239
13.800	30.128	0.239
13.817	30.702	0.239
13.833	31.183	0.239
13.850	31.562	0.239
13.867	31.830	0.239
13.883	32.153	0.239
13.900	32.205	0.239
13.917	32.166	0.239
13.933	32.200	0.239
13.950	31.906	0.239
13.967	31.498	0.239
13.983	30.991	0.239
14.000	30.390	0.239
14.017	29.705	0.239
14.033	28.952	0.239
14.050	28.135	0.239
14.067	27.271	0.239
14.083	26.670	0.239
14.100	25.870	0.239
14.117	25.031	0.239
14.133	24.210	0.239
14.150	23.405	0.239
14.167	22.639	0.239
14.183	21.647	0.239
14.200	20.864	0.239
14.217	20.340	0.239
14.233	19.953	0.239
14.250	19.676	0.239
14.267	19.518	0.239
14.283	19.484	0.239
14.300	19.574	0.239
14.317	19.820	0.239
14.333	20.548	0.239
14.350	21.089	0.239
14.367	21.590	0.239
14.383	22.054	0.239
14.400	22.531	0.239
14.417	23.293	0.239
14.433	23.820	0.239
14.450	24.492	0.239
14.467	25.425	0.239
14.483	26.343	0.239
14.500	27.203	0.239
14.517	28.024	0.239
14.533	28.803	0.239
14.550	29.523	0.239
14.567	30.169	0.239
14.583	30.731	0.239
14.600	31.199	0.239
14.617	31.561	0.239
14.633	31.816	0.239
14.650	31.952	0.239
14.667	31.973	0.239
14.683	31.875	0.239
14.700	31.662	0.239
14.717	31.338	0.239
14.733	30.908	0.239
14.750	30.376	0.239
14.767	29.763	0.239
14.783	29.065	0.239
14.800	28.307	0.239
14.817	27.507	0.239
14.833	26.664	0.239
14.850	25.809	0.239
14.867	24.949	0.239
14.883	24.102	0.239
14.900	23.289	0.239
14.917	22.523	0.239
14.933	21.816	0.239
14.950	21.161	0.239
14.967	20.548	0.239
14.983	20.024	0.239
15.000	19.824	0.239
15.017	19.853	0.239
15.033	19.717	0.239
15.050	19.934	0.239
15.067	20.176	0.239
15.083	20.428	0.239
