Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
38.450	29.367	0.239
38.467	29.031	0.239
38.483	28.631	0.239
38.500	28.184	0.239
38.517	27.686	0.239
38.533	27.149	0.239
38.550	26.583	0.239
38.567	26.009	0.239
38.583	25.425	0.239
38.600	24.842	0.239
38.617	24.263	0.239
38.633	23.684	0.239
38.650	23.114	0.239
38.667	22.824	0.239
38.683	22.714	0.239
38.700	22.368	0.239
38.717	22.300	0.239
38.733	22.245	0.239
38.750	22.160	0.239
38.767	22.134	0.239
38.783	22.177	0.239
38.800	22.291	0.239
38.817	22.495	0.239
38.833	22.776	0.239
38.850	23.125	0.239
38.867	23.525	0.239
38.883	23.976	0.239
38.900	24.466	0.239
38.917	24.980	0.239
38.933	25.491	0.239
38.950	25.955	0.239
38.967	26.401	0.239
38.983	27.002	0.239
39.000	27.576	0.239
39.017	28.121	0.239
39.033	28.610	0.239
39.050	29.044	0.239
39.067	29.414	0.239
39.083	29.691	0.239
39.100	29.809	0.239
39.117	30.001	0.239
39.133	30.129	0.239
39.150	30.367	0.239
39.167	30.371	0.239
39.183	30.269	0.239
39.200	30.086	0.239
39.217	29.809	0.239
39.233	29.464	0.239
39.250	29.051	0.239
39.267	28.583	0.239
39.283	28.072	0.239
39.300	27.518	0.239
39.317	26.952	0.239
39.333	26.361	0.239
39.350	25.769	0.239
39.367	25.160	0.239
39.383	24.535	0.239
39.400	23.755	0.239
39.417	23.244	0.239
39.433	22.610	0.239
39.450	22.206	0.239
39.467	21.870	0.239
39.483	21.597	0.239
39.500	21.414	0.239
39.517	21.337	0.239
39.533	21.329	0.239
39.550	21.388	0.239
39.567	21.520	0.239
39.583	21.724	0.239
39.600	21.992	0.239
39.617	22.337	0.239
39.633	22.737	0.239
39.650	23.192	0.239
39.667	23.694	0.239
39.683	24.234	0.239
39.700	24.800	0.239
39.717	25.383	0.239
39.733	25.970	0.239
39.750	26.558	0.239
39.767	27.124	0.239
39.783	27.660	0.239
39.800	28.162	0.239
39.817	28.613	0.239
39.833	29.008	0.239
39.850	29.340	0.239
39.867	29.609	0.239
39.883	29.804	0.239
39.900	29.919	0.239
39.917	29.961	0.239
39.933	29.918	0.239
39.950	29.799	0.239
39.967	29.586	0.239
39.983	29.301	0.239
40.000	28.918	0.239
40.017	28.467	0.239
40.033	27.994	0.239
40.050	27.671	0.239
40.067	27.407	0.239
40.083	26.883	0.239
40.100	26.295	0.239
40.117	25.870	0.239
40.133	25.470	0.239
40.150	24.955	0.239
40.167	24.443	0.239
40.183	23.962	0.239
40.200	23.524	0.239
40.217	23.141	0.239
40.233	22.809	0.239
40.250	22.540	0.239
40.267	22.353	0.239
40.283	22.225	0.239
40.300	22.191	0.239
40.317	22.263	0.239
40.333	22.404	0.239
40.350	22.625	0.239
40.367	22.910	0.239
40.383	23.263	0.239
40.400	23.672	0.239
40.417	24.140	0.239
40.433	24.629	0.239
40.450	25.148	0.239
40.467	25.676	0.239
40.483	26.186	0.239
40.500	26.514	0.239
40.517	27.042	0.239
40.533	27.603	0.239
40.550	28.080	0.239
40.567	28.297	0.239
40.583	28.561	0.239
40.600	28.977	0.239
40.617	29.343	0.239
40.633	29.612	0.239
40.650	29.794	0.239
40.667	29.888	0.239
40.683	29.901	0.239
40.700	29.836	0.239
40.717	29.692	0.239
40.733	29.474	0.239
40.750	29.189	0.239
40.767	28.836	0.239
40.783	28.423	0.239
40.800	27.959	0.239
40.817	27.457	0.239
40.833	26.920	0.239
40.850	26.358	0.239
40.867	25.788	0.239
40.883	25.213	0.239
40.900	24.647	0.239
40.917	24.098	0.239
40.933	23.583	0.239
40.950	23.106	0.239
40.967	22.676	0.239
40.983	22.301	0.239
41.000	21.995	0.239
41.017	21.756	0.239
41.033	21.577	0.239
41.050	21.479	0.239
41.067	21.437	0.239
41.083	21.467	0.239
41.100	21.585	0.239
41.117	21.781	0.239
41.133	22.062	0.239
41.150	22.411	0.239
41.167	22.823	0.239
41.183	23.470	0.239
41.200	23.981	0.239
41.217	24.538	0.239
41.233	25.308	0.239
41.250	25.930	0.239
41.267	26.521	0.239
41.283	27.096	0.239
41.300	27.640	0.239
41.317	28.164	0.239
41.333	28.649	0.239
41.350	29.083	0.239
41.367	29.457	0.239
41.383	29.768	0.239
41.400	29.993	0.239
41.417	30.155	0.239
41.433	30.218	0.239
41.450	30.206	0.239
41.467	30.142	0.239
41.483	29.992	0.239
41.500	29.814	0.239
41.517	29.546	0.239
41.533	29.214	0.239
41.550	28.826	0.239
41.567	28.383	0.239
41.583	27.889	0.239
41.600	27.357	0.239
41.617	26.787	0.239
41.633	26.238	0.239
41.650	25.914	0.239
41.667	25.433	0.239
41.683	24.922	0.239
41.700	24.433	0.239
41.717	23.964	0.239
41.733	23.539	0.239
41.750	23.155	0.239
41.767	22.836	0.239
41.783	22.581	0.239
41.800	22.402	0.239
41.817	22.317	0.239
41.833	22.312	0.239
41.850	22.388	0.239
41.867	22.503	0.239
41.883	22.618	0.239
41.900	22.606	0.239
41.917	22.946	0.239
41.933	22.895	0.239
41.950	23.359	0.239
41.967	23.920	0.239
41.983	24.490	0.239
42.000	25.039	0.239
42.017	25.592	0.239
42.033	26.150	0.239
42.050	26.698	0.239
42.067	27.226	0.239
42.083	27.724	0.239
42.100	28.188	0.239
42.117	28.596	0.239
42.133	28.954	0.239
42.150	29.251	0.239
42.167	29.486	0.239
42.183	29.635	0.239
42.200	29.736	0.239
42.217	29.740	0.239
42.233	29.668	0.239
42.250	29.532	0.239
42.267	29.302	0.239
42.283	29.012	0.239
42.300	28.663	0.239
42.317	28.259	0.239
42.333	27.807	0.239
42.350	27.318	0.239
42.367	26.798	0.239
42.383	26.249	0.239
42.400	25.696	0.239
42.417	25.147	0.239
42.433	24.606	0.239
42.450	24.087	0.239
42.467	23.567	0.239
42.483	23.035	0.239
42.500	22.597	0.239
42.517	22.426	0.239
42.533	22.431	0.239
42.550	22.188	0.239
42.567	22.328	0.239
42.583	22.345	0.239
42.600	22.371	0.239
42.617	22.456	0.239
42.633	22.609	0.239
42.650	22.838	0.239
42.667	23.136	0.239
42.683	23.493	0.239
42.700	23.898	0.239
42.717	24.345	0.239
42.733	24.821	0.239
42.750	25.302	0.239
42.767	25.740	0.239
42.783	26.110	0.239
42.800	26.676	0.239
42.817	27.233	0.239
42.833	27.761	0.239
42.850	28.242	0.239
42.867	28.680	0.239
42.883	29.063	0.239
42.900	29.344	0.239
42.917	29.471	0.239
42.933	29.689	0.239
42.950	29.838	0.239
42.967	29.914	0.239
42.983	29.914	0.239
43.000	29.850	0.239
43.017	29.892	0.239
43.033	29.730	0.239
43.050	29.462	0.239
43.067	29.109	0.239
43.083	28.692	0.239
43.100	28.224	0.239
43.117	27.717	0.239
43.133	27.180	0.239
43.150	26.631	0.239
43.167	26.074	0.239
43.183	25.503	0.239
43.200	24.950	0.239
43.217	24.413	0.239
43.233	23.928	0.239
43.250	23.447	0.239
43.267	22.928	0.239
43.283	22.400	0.239
43.300	21.923	0.239
43.317	21.701	0.239
43.333	21.570	0.239
43.350	21.514	0.239
43.367	21.569	0.239
43.383	21.671	0.239
43.400	21.829	0.239
43.417	22.054	0.239
43.433	22.343	0.239
43.450	22.692	0.239
43.467	23.096	0.239
43.483	23.552	0.239
43.500	24.045	0.239
43.517	24.569	0.239
43.533	25.113	0.239
43.550	25.666	0.239
43.567	26.220	0.239
43.583	26.769	0.239
43.600	27.288	0.239
43.617	27.781	0.239
43.633	28.228	0.239
43.650	28.632	0.239
43.667	28.977	0.239
43.683	29.262	0.239
43.700	29.479	0.239
43.717	29.619	0.239
43.733	29.700	0.239
43.750	29.695	0.239
43.767	29.619	0.239
43.783	29.474	0.239
43.800	29.248	0.239
43.817	28.950	0.239
43.833	28.571	0.239
43.850	28.112	0.239
43.867	27.622	0.239
43.883	27.299	0.239
43.900	27.064	0.239
43.917	26.545	0.239
43.933	25.991	0.239
43.950	25.664	0.239
43.967	25.247	0.239
43.983	24.765	0.239
44.000	24.314	0.239
44.017	23.884	0.239
44.033	23.497	0.239
44.050	23.156	0.239
44.067	22.875	0.239
44.083	22.666	0.239
44.100	22.522	0.239
44.117	22.462	0.239
44.133	22.474	0.239
44.150	22.564	0.239
44.167	22.734	0.239
44.183	22.972	0.239
44.200	23.274	0.239
44.217	23.636	0.239
44.233	24.044	0.239
44.250	24.491	0.239
44.267	24.968	0.239
44.283	25.474	0.239
44.300	25.976	0.239
44.317	26.444	0.239
44.333	26.776	0.239
44.350	27.274	0.239
44.367	27.801	0.239
44.383	28.274	0.239
44.400	28.665	0.239
44.417	28.784	0.239
44.433	28.933	0.239
44.450	29.214	0.239
44.467	29.448	0.239
44.483	29.618	0.239
44.500	29.695	0.239
44.517	29.677	0.239
44.533	29.579	0.239
44.550	29.405	0.239
44.567	29.162	0.239
44.583	28.851	0.239
44.600	28.485	0.239
44.617	28.068	0.239
44.633	27.600	0.239
44.650	27.102	0.239
44.667	26.578	0.239
44.683	26.037	0.239
44.700	25.492	0.239
44.717	24.952	0.239
44.733	24.420	0.239
44.750	23.909	0.239
44.767	23.436	0.239
44.783	23.002	0.239
44.800	22.619	0.239
44.817	22.295	0.239
44.833	22.040	0.239
44.850	21.844	0.239
44.867	21.720	0.239
44.883	21.673	0.239
44.900	21.690	0.239
44.917	21.784	0.239
44.933	21.941	0.239
44.950	22.158	0.239
44.967	22.430	0.239
44.983	22.779	0.239
45.000	23.188	0.239
45.017	23.643	0.239
45.033	24.141	0.239
45.050	24.664	0.239
45.067	25.200	0.239
45.083	25.937	0.239
45.100	26.485	0.239
45.117	27.230	0.239
45.133	27.792	0.239
45.150	28.277	0.239
45.167	28.728	0.239
45.183	29.115	0.239
45.200	29.443	0.239
45.217	29.698	0.239
45.233	29.889	0.239
45.250	30.004	0.239
45.267	30.047	0.239
45.283	30.008	0.239
45.300	29.893	0.239
45.317	29.727	0.239
45.333	29.497	0.239
45.350	29.208	0.239
45.367	28.859	0.239
45.383	28.467	0.239
45.400	28.015	0.239
45.417	27.526	0.239
45.433	27.007	0.239
45.450	26.462	0.239
45.467	26.091	0.239
45.483	25.678	0.239
45.500	25.214	0.239
45.517	24.738	0.239
45.533	24.291	0.239
45.550	23.869	0.239
45.567	23.494	0.239
45.583	23.171	0.239
45.600	22.903	0.239
45.617	22.711	0.239
45.633	22.574	0.239
45.650	22.523	0.239
45.667	22.562	0.239
45.683	22.663	0.239
45.700	22.817	0.239
45.717	22.995	0.239
45.733	22.961	0.239
45.750	23.336	0.239
45.767	23.442	0.239
45.783	23.714	0.239
45.800	24.250	0.239
45.817	24.838	0.239
45.833	25.373	0.239
45.850	25.906	0.239
45.867	26.425	0.239
45.883	26.931	0.239
45.900	27.416	0.239
45.917	27.872	0.239
45.933	28.284	0.239
45.950	28.650	0.239
45.967	28.961	0.239
45.983	29.207	0.239
46.000	29.382	0.239
46.017	29.501	0.239
46.033	29.539	0.239
46.050	29.505	0.239
46.067	29.390	0.239
46.083	29.220	0.239
46.100	28.972	0.239
46.117	28.662	0.239
46.133	28.300	0.239
46.150	27.895	0.239
46.167	27.444	0.239
46.183	26.959	0.239
46.200	26.456	0.239
46.217	25.928	0.239
46.233	25.401	0.239
46.250	24.881	0.239
46.267	24.379	0.239
46.283	23.902	0.239
46.300	23.442	0.239
46.317	22.974	0.239
46.333	22.561	0.239
46.350	22.429	0.239
46.367	22.442	0.239
46.383	22.305	0.239
46.400	22.365	0.239
46.417	22.531	0.239
46.433	22.612	0.239
46.450	22.735	0.239
46.467	22.913	0.239
46.483	23.160	0.239
46.500	23.475	0.239
46.517	23.841	0.239
46.533	24.258	0.239
46.550	24.705	0.239
46.567	25.173	0.239
46.583	25.615	0.239
46.600	26.045	0.239
46.617	26.394	0.239
46.633	26.922	0.239
46.650	27.445	0.239
46.667	27.934	0.239
46.683	28.381	0.239
46.700	28.772	0.239
46.717	29.117	0.239
46.733	29.385	0.239
46.750	29.526	0.239
46.767	29.580	0.239
46.783	29.678	0.239
46.800	29.708	0.239
46.817	29.669	0.239
46.833	29.703	0.239
46.850	29.593	0.239
46.867	29.397	0.239
46.883	29.111	0.239
46.900	28.767	0.239
46.917	28.350	0.239
46.933	27.877	0.239
46.950	27.379	0.239
46.967	26.855	0.239
46.983	26.332	0.239
47.000	25.948	0.239
47.017	25.455	0.239
47.033	24.927	0.239
47.050	24.267	0.239
47.067	23.803	0.239
47.083	23.394	0.239
47.100	23.020	0.239
47.117	22.432	0.239
47.133	22.177	0.239
47.150	21.827	0.239
47.167	21.725	0.239
47.183	21.717	0.239
47.200	21.806	0.239
47.217	21.950	0.239
47.233	22.142	0.239
47.250	22.384	0.239
47.267	22.682	0.239
47.283	23.044	0.239
47.300	23.452	0.239
47.317	23.903	0.239
47.333	24.389	0.239
47.350	24.895	0.239
47.367	25.414	0.239
47.383	25.942	0.239
47.400	26.465	0.239
47.417	26.963	0.239
47.433	27.448	0.239
47.450	27.890	0.239
47.467	28.295	0.239
47.483	28.647	0.239
47.500	28.950	0.239
47.517	29.188	0.239
47.533	29.358	0.239
47.550	29.460	0.239
47.567	29.486	0.239
47.583	29.447	0.239
47.600	29.349	0.239
47.617	29.170	0.239
47.633	28.932	0.239
47.650	28.621	0.239
47.667	28.238	0.239
47.683	27.774	0.239
47.700	27.284	0.239
47.717	26.973	0.239
47.733	26.756	0.239
47.750	26.254	0.239
47.767	25.726	0.239
47.783	25.517	0.239
47.800	25.070	0.239
47.817	24.628	0.239
47.833	24.202	0.239
47.850	23.819	0.239
47.867	23.474	0.239
47.883	23.180	0.239
47.900	22.955	0.239
47.917	22.784	0.239
47.933	22.695	0.239
47.950	22.673	0.239
47.967	22.729	0.239
47.983	22.852	0.239
48.000	23.052	0.239
48.017	23.307	0.239
48.033	23.622	0.239
48.050	23.979	0.239
48.067	24.383	0.239
48.083	24.817	0.239
48.100	25.290	0.239
48.117	25.766	0.239
48.133	26.213	0.239
48.150	26.668	0.239
48.167	26.996	0.239
48.183	27.489	0.239
48.200	27.962	0.239
48.217	28.395	0.239
48.233	28.779	0.239
48.250	29.068	0.239
48.267	29.093	0.239
48.283	29.148	0.239
48.300	29.302	0.239
48.317	29.391	0.239
48.333	29.450	0.239
48.350	29.429	0.239
48.367	29.314	0.239
48.383	29.118	0.239
48.400	28.854	0.239
48.417	28.530	0.239
48.433	28.156	0.239
48.450	27.734	0.239
48.467	27.279	0.239
48.483	26.793	0.239
48.500	26.278	0.239
48.517	25.759	0.239
48.533	25.236	0.239
48.550	24.724	0.239
48.567	24.231	0.239
48.583	23.762	0.239
48.600	23.333	0.239
48.617	22.949	0.239
48.633	22.613	0.239
48.650	22.332	0.239
48.667	22.115	0.239
48.683	21.962	0.239
48.700	21.881	0.239
48.717	21.872	0.239
48.733	21.936	0.239
48.750	22.063	0.239
48.767	22.250	0.239
48.783	22.501	0.239
48.800	22.808	0.239
48.817	23.156	0.239
48.833	23.561	0.239
48.850	24.003	0.239
48.867	24.480	0.239
48.883	24.973	0.239
48.900	25.488	0.239
48.917	26.011	0.239
48.933	26.701	0.239
48.950	27.203	0.239
48.967	27.901	0.239
48.983	28.365	0.239
49.000	28.769	0.239
49.017	29.114	0.239
49.033	29.403	0.239
49.050	29.624	0.239
49.067	29.777	0.239
49.083	29.858	0.239
49.100	29.866	0.239
49.117	29.802	0.239
49.133	29.662	0.239
49.150	29.462	0.239
49.167	29.210	0.239
49.183	28.899	0.239
49.200	28.538	0.239
49.217	28.133	0.239
49.233	27.682	0.239
49.250	27.196	0.239
49.267	26.686	0.239
49.283	26.196	0.239
49.300	25.898	0.239
49.317	25.485	0.239
49.333	25.025	0.239
49.350	24.583	0.239
49.367	24.174	0.239
49.383	23.804	0.239
49.400	23.480	0.239
49.417	23.216	0.239
49.433	23.003	0.239
49.450	22.846	0.239
49.467	22.765	0.239
49.483	22.756	0.239
49.500	22.815	0.239
49.517	22.943	0.239
49.533	23.126	0.239
49.550	23.338	0.239
49.567	23.407	0.239
49.583	23.683	0.239
49.600	23.981	0.239
49.617	24.062	0.239
49.633	24.560	0.239
49.650	25.134	0.239
49.667	25.662	0.239
49.683	26.172	0.239
49.700	26.657	0.239
49.717	27.130	0.239
49.733	27.572	0.239
49.750	27.980	0.239
49.767	28.347	0.239
49.783	28.661	0.239
49.800	28.921	0.239
49.817	29.125	0.239
49.833	29.261	0.239
49.850	29.325	0.239
49.867	29.325	0.239
49.883	29.261	0.239
49.900	29.124	0.239
49.917	28.920	0.239
49.933	28.652	0.239
49.950	28.332	0.239
49.967	27.962	0.239
49.983	27.553	0.239
50.000	27.106	0.239
50.017	26.634	0.239
50.033	26.149	0.239
50.050	25.646	0.239
50.067	25.148	0.239
50.083	24.663	0.239
50.100	24.190	0.239
50.117	23.752	0.239
50.133	23.339	0.239
50.150	22.917	0.239
50.167	22.551	0.239
50.183	22.457	0.239
50.200	22.534	0.239
50.217	22.423	0.239
50.233	22.368	0.239
50.250	22.695	0.239
50.267	22.818	0.239
50.283	22.980	0.239
50.300	23.201	0.239
50.317	23.474	0.239
50.333	23.801	0.239
50.350	24.171	0.239
50.367	24.584	0.239
50.383	25.022	0.239
50.400	25.478	0.239
50.417	25.894	0.239
50.433	26.286	0.239
50.450	26.644	0.239
50.467	27.145	0.239
50.483	27.626	0.239
50.500	28.073	0.239
50.517	28.473	0.239
50.533	28.822	0.239
50.550	29.116	0.239
50.567	29.341	0.239
50.583	29.486	0.239
50.600	29.571	0.239
50.617	29.638	0.239
50.633	29.643	0.239
50.650	29.587	0.239
50.667	29.523	0.239
50.683	29.344	0.239
50.700	29.106	0.239
50.717	28.795	0.239
50.733	28.425	0.239
50.750	28.008	0.239
50.767	27.543	0.239
50.783	27.062	0.239
50.800	26.560	0.239
50.817	26.224	0.239
50.833	25.790	0.239
50.850	25.304	0.239
50.867	24.815	0.239
50.883	24.283	0.239
50.900	23.712	0.239
50.917	23.342	0.239
50.933	23.031	0.239
50.950	22.695	0.239
50.967	22.269	0.239
50.983	21.954	0.239
51.000	21.894	0.239
51.017	21.919	0.239
51.033	22.043	0.239
51.050	22.213	0.239
51.067	22.430	0.239
51.083	22.694	0.239
51.100	23.004	0.239
51.117	23.374	0.239
51.133	23.787	0.239
51.150	24.230	0.239
51.167	24.698	0.239
51.183	25.187	0.239
51.200	25.681	0.239
51.217	26.178	0.239
51.233	26.681	0.239
51.250	27.153	0.239
51.267	27.587	0.239
51.283	27.987	0.239
51.300	28.348	0.239
51.317	28.655	0.239
51.333	28.906	0.239
51.350	29.097	0.239
51.367	29.229	0.239
51.383	29.284	0.239
51.400	29.280	0.239
51.417	29.207	0.239
51.433	29.071	0.239
51.450	28.871	0.239
51.467	28.611	0.239
51.483	28.292	0.239
51.500	27.904	0.239
51.517	27.457	0.239
51.533	26.964	0.239
51.550	26.483	0.239
51.567	26.410	0.239
51.583	25.976	0.239
51.600	25.478	0.239
51.617	25.320	0.239
51.633	24.907	0.239
51.650	24.494	0.239
51.667	24.107	0.239
51.683	23.762	0.239
51.700	23.460	0.239
51.717	23.217	0.239
51.733	23.038	0.239
51.750	22.915	0.239
51.767	22.863	0.239
51.783	22.880	0.239
51.800	22.969	0.239
51.817	23.123	0.239
51.833	23.336	0.239
51.850	23.612	0.239
51.867	23.927	0.239
51.883	24.297	0.239
51.900	24.692	0.239
51.917	25.122	0.239
51.933	25.565	0.239
51.950	25.977	0.239
51.967	26.386	0.239
51.983	26.718	0.239
52.000	27.199	0.239
52.017	27.663	0.239
52.033	28.096	0.239
52.050	28.484	0.239
52.067	28.816	0.239
52.083	29.066	0.239
52.100	29.049	0.239
52.117	29.220	0.239
52.133	29.156	0.239
52.150	29.223	0.239
52.167	29.236	0.239
52.183	29.164	0.239
52.200	29.036	0.239
52.217	28.823	0.239
52.233	28.550	0.239
52.250	28.218	0.239
52.267	27.840	0.239
52.283	27.418	0.239
52.300	26.962	0.239
52.317	26.486	0.239
52.333	25.992	0.239
52.350	25.498	0.239
52.367	25.000	0.239
52.383	24.519	0.239
52.400	24.063	0.239
52.417	23.633	0.239
52.433	23.242	0.239
52.450	22.897	0.239
52.467	22.603	0.239
52.483	22.373	0.239
52.500	22.194	0.239
52.517	22.088	0.239
52.533	22.049	0.239
52.550	22.075	0.239
52.567	22.164	0.239
52.583	22.321	0.239
52.600	22.538	0.239
52.617	22.815	0.239
52.633	23.142	0.239
52.650	23.513	0.239
52.667	23.925	0.239
52.683	24.359	0.239
52.700	24.810	0.239
52.717	25.279	0.239
52.733	25.759	0.239
52.750	26.244	0.239
52.767	26.717	0.239
52.783	27.168	0.239
52.800	27.776	0.239
52.817	28.168	0.239
52.833	28.738	0.239
52.850	29.078	0.239
52.867	29.333	0.239
52.883	29.520	0.239
52.900	29.635	0.239
52.917	29.682	0.239
52.933	29.656	0.239
52.950	29.563	0.239
52.967	29.409	0.239
52.983	29.188	0.239
53.000	28.911	0.239
53.017	28.587	0.239
53.033	28.213	0.239
53.050	27.813	0.239
53.067	27.362	0.239
53.083	26.884	0.239
53.100	26.399	0.239
53.117	26.106	0.239
53.133	25.718	0.239
53.150	25.293	0.239
53.167	24.867	0.239
53.183	24.466	0.239
53.200	24.096	0.239
53.217	23.764	0.239
53.233	23.475	0.239
53.250	23.249	0.239
53.267	23.078	0.239
53.283	22.968	0.239
53.300	22.929	0.239
53.317	22.959	0.239
53.333	23.057	0.239
53.350	23.201	0.239
53.367	23.401	0.239
53.383	23.593	0.239
53.400	23.627	0.239
53.417	24.018	0.239
53.433	24.141	0.239
53.450	24.384	0.239
53.467	24.869	0.239
53.483	25.413	0.239
53.500	25.928	0.239
53.517	26.418	0.239
53.533	26.873	0.239
53.550	27.307	0.239
53.567	27.707	0.239
53.583	28.073	0.239
53.600	28.396	0.239
53.617	28.668	0.239
53.633	28.885	0.239
53.650	29.039	0.239
53.667	29.136	0.239
53.683	29.166	0.239
53.700	29.128	0.239
53.717	29.017	0.239
53.733	28.855	0.239
53.750	28.625	0.239
53.767	28.344	0.239
53.783	28.012	0.239
53.800	27.637	0.239
53.817	27.224	0.239
53.833	26.786	0.239
53.850	26.322	0.239
53.867	25.849	0.239
53.883	25.373	0.239
53.900	24.904	0.239
53.917	24.449	0.239
53.933	24.014	0.239
53.950	23.610	0.239
53.967	23.227	0.239
53.983	22.848	0.239
54.000	22.537	0.239
54.017	22.490	0.239
54.033	22.588	0.239
54.050	22.549	0.239
54.067	22.511	0.239
54.083	22.788	0.239
54.100	23.021	0.239
54.117	23.226	0.239
54.133	23.481	0.239
54.150	23.774	0.239
54.167	24.115	0.239
54.183	24.489	0.239
54.200	24.902	0.239
54.217	25.336	0.239
54.233	25.783	0.239
54.250	26.187	0.239
54.267	26.561	0.239
54.283	26.885	0.239
54.300	27.361	0.239
54.317	27.808	0.239
54.333	28.204	0.239
54.350	28.561	0.239
54.367	28.863	0.239
54.383	29.119	0.239
54.400	29.301	0.239
54.417	29.454	0.239
54.433	29.523	0.239
54.450	29.548	0.239
54.467	29.526	0.239
54.483	29.441	0.239
54.500	29.284	0.239
54.517	29.071	0.239
54.533	28.794	0.239
54.550	28.462	0.239
54.567	28.079	0.239
54.583	27.662	0.239
54.600	27.202	0.239
54.617	26.738	0.239
54.633	26.257	0.239
54.650	25.929	0.239
54.667	25.482	0.239
54.683	25.010	0.239
54.700	24.413	0.239
54.717	23.983	0.239
54.733	23.613	0.239
54.750	23.298	0.239
54.767	23.034	0.239
54.783	22.787	0.239
54.800	22.370	0.239
54.817	22.089	0.239
54.833	22.068	0.239
54.850	22.131	0.239
54.867	22.288	0.239
54.883	22.501	0.239
54.900	22.752	0.239
54.917	23.029	0.239
54.933	23.361	0.239
54.950	23.735	0.239
54.967	24.139	0.239
54.983	24.578	0.239
55.000	25.033	0.239
55.017	25.505	0.239
55.033	25.977	0.239
55.050	26.441	0.239
55.067	26.896	0.239
55.083	27.326	0.239
55.100	27.722	0.239
55.117	28.083	0.239
55.133	28.394	0.239
55.150	28.653	0.239
55.167	28.862	0.239
55.183	29.007	0.239
55.200	29.091	0.239
55.217	29.108	0.239
55.233	29.066	0.239
55.250	28.955	0.239
55.267	28.793	0.239
55.283	28.567	0.239
55.300	28.287	0.239
55.317	27.959	0.239
55.333	27.575	0.239
55.350	27.133	0.239
55.367	26.635	0.239
55.383	26.149	0.239
55.400	25.881	0.239
55.417	25.702	0.239
55.433	25.225	0.239
55.450	25.042	0.239
55.467	24.715	0.239
55.483	24.357	0.239
55.500	24.020	0.239
55.517	23.718	0.239
55.533	23.463	0.239
55.550	23.267	0.239
55.567	23.130	0.239
55.583	23.058	0.239
55.600	23.049	0.239
55.617	23.105	0.239
55.633	23.215	0.239
55.650	23.402	0.239
55.667	23.632	0.239
55.683	23.921	0.239
55.700	24.249	0.239
55.717	24.615	0.239
55.733	25.010	0.239
55.750	25.423	0.239
55.767	25.819	0.239
55.783	26.176	0.239
55.800	26.491	0.239
55.817	26.959	0.239
55.833	27.406	0.239
55.850	27.832	0.239
55.867	28.215	0.239
55.883	28.555	0.239
55.900	28.814	0.239
55.917	28.810	0.239
55.933	29.001	0.239
55.950	28.950	0.239
55.967	29.027	0.239
55.983	29.039	0.239
56.000	29.009	0.239
56.017	28.916	0.239
56.033	28.754	0.239
56.050	28.524	0.239
56.067	28.234	0.239
56.083	27.898	0.239
56.100	27.515	0.239
56.117	27.098	0.239
56.133	26.651	0.239
56.150	26.186	0.239
56.167	25.714	0.239
56.183	25.242	0.239
56.200	24.778	0.239
56.217	24.335	0.239
56.233	23.909	0.239
56.250	23.522	0.239
56.267	23.177	0.239
56.283	22.870	0.239
56.300	22.623	0.239
56.317	22.427	0.239
56.333	22.291	0.239
56.350	22.227	0.239
56.367	22.223	0.239
56.383	22.286	0.239
56.400	22.410	0.239
56.417	22.593	0.239
56.433	22.831	0.239
56.450	23.124	0.239
56.467	23.465	0.239
56.483	23.843	0.239
56.500	24.256	0.239
56.517	24.690	0.239
56.533	25.141	0.239
56.550	25.596	0.239
56.567	26.056	0.239
56.583	26.490	0.239
56.600	26.928	0.239
56.617	27.333	0.239
56.633	27.711	0.239
56.650	28.047	0.239
56.667	28.528	0.239
56.683	28.783	0.239
56.700	29.213	0.239
56.717	29.388	0.239
56.733	29.489	0.239
56.750	29.498	0.239
56.767	29.438	0.239
56.783	29.315	0.239
56.800	29.136	0.239
56.817	28.893	0.239
56.833	28.608	0.239
56.850	28.267	0.239
56.867	27.888	0.239
56.883	27.471	0.239
56.900	27.024	0.239
56.917	26.569	0.239
56.933	26.279	0.239
56.950	25.900	0.239
56.967	25.508	0.239
56.983	25.096	0.239
57.000	24.700	0.239
57.017	24.329	0.239
57.033	24.001	0.239
57.050	23.712	0.239
57.067	23.473	0.239
57.083	23.286	0.239
57.100	23.162	0.239
57.117	23.098	0.239
57.133	23.098	0.239
57.150	23.158	0.239
57.167	23.273	0.239
57.183	23.439	0.239
57.200	23.630	0.239
57.217	23.630	0.239
57.233	23.936	0.239
57.250	24.328	0.239
57.267	24.442	0.239
57.283	24.693	0.239
57.300	25.161	0.239
57.317	25.676	0.239
57.333	26.178	0.239
57.350	26.638	0.239
57.367	27.063	0.239
57.383	27.463	0.239
57.400	27.825	0.239
57.417	28.152	0.239
57.433	28.433	0.239
57.450	28.659	0.239
57.467	28.833	0.239
57.483	28.944	0.239
57.500	28.995	0.239
57.517	28.982	0.239
57.533	28.909	0.239
57.550	28.773	0.239
57.567	28.577	0.239
57.583	28.330	0.239
57.600	28.032	0.239
57.617	27.691	0.239
57.633	27.313	0.239
57.650	26.904	0.239
57.667	26.470	0.239
57.683	26.018	0.239
57.700	25.567	0.239
57.717	25.112	0.239
57.733	24.669	0.239
57.750	24.243	0.239
57.767	23.851	0.239
57.783	23.481	0.239
57.800	23.132	0.239
