Motion Sensor Data File Sep 15, 2020 3:20 PM
Time (s)	Distance (cm)	Dist Error (cm)
8.033	31.002	0.239
8.050	31.578	0.239
8.067	32.023	0.239
8.083	32.325	0.239
8.100	32.459	0.239
8.117	32.455	0.239
8.133	32.304	0.239
8.150	31.981	0.239
8.167	31.524	0.239
8.183	30.936	0.239
8.200	30.192	0.239
8.217	29.318	0.239
8.233	28.268	0.239
8.250	27.288	0.239
8.267	26.177	0.239
8.283	24.997	0.239
8.300	23.922	0.239
8.317	22.840	0.239
8.333	21.803	0.239
8.350	20.827	0.239
8.367	19.891	0.239
8.383	18.989	0.239
8.400	18.290	0.239
8.417	17.698	0.239
8.433	17.224	0.239
8.450	16.938	0.239
8.467	16.770	0.239
8.483	16.754	0.239
8.500	16.897	0.239
8.517	17.199	0.239
8.533	17.628	0.239
8.550	18.236	0.239
8.567	18.967	0.239
8.583	20.036	0.239
8.600	20.951	0.239
8.617	22.021	0.239
8.633	23.136	0.239
8.650	24.246	0.239
8.667	25.353	0.239
8.683	26.545	0.239
8.700	27.656	0.239
