x-axis,NO_LBL,2
second,Volt,Volt
-4.265000E-06,+1.462078210706E+00,+23.558798765E-03
-4.260000E-06,+1.474975450006E+00,+50.959016677E-03
-4.255000E-06,+1.465883920082E+00,+19.791175885E-03
-4.250000E-06,+1.463349494500E+00,+48.822448718E-03
-4.245000E-06,+1.470275250788E+00,+23.557969486E-03
-4.240000E-06,+1.464404336630E+00,+39.760983906E-03
-4.235000E-06,+1.467811690816E+00,+35.365913907E-03
-4.230000E-06,+1.471527988901E+00,+28.836673319E-03
-4.225000E-06,+1.470592412083E+00,+43.863001994E-03
-4.220000E-06,+1.472433937864E+00,+21.163737188E-03
-4.215000E-06,+1.466328488695E+00,+49.810345465E-03
-4.210000E-06,+1.469860611586E+00,+18.884744433E-03
-4.205000E-06,+1.465433471130E+00,+47.304537527E-03
-4.200000E-06,+1.473192275270E+00,+24.787653660E-03
-4.195000E-06,+1.472588108258E+00,+37.479789793E-03
-4.190000E-06,+1.472122053795E+00,+34.817278393E-03
-4.185000E-06,+1.464331133964E+00,+29.666434212E-03
-4.180000E-06,+1.473661119124E+00,+41.485114019E-03
-4.175000E-06,+1.458279135558E+00,+23.432853992E-03
-4.170000E-06,+1.476352730658E+00,+46.857767556E-03
-4.165000E-06,+1.467457739715E+00,+22.631695664E-03
-4.160000E-06,+1.470304049365E+00,+46.478154058E-03
-4.155000E-06,+1.468565052552E+00,+25.491273769E-03
-4.150000E-06,+1.467062098527E+00,+40.238979978E-03
-4.145000E-06,+1.468758575976E+00,+35.059156287E-03
-4.140000E-06,+1.466651530328E+00,+30.080334603E-03
-4.135000E-06,+1.472880994312E+00,+42.862515293E-03
-4.130000E-06,+1.470598669366E+00,+24.347035427E-03
-4.125000E-06,+1.475516893415E+00,+46.815474358E-03
-4.120000E-06,+1.465379341867E+00,+23.239255179E-03
-4.115000E-06,+1.464278587869E+00,+44.421468227E-03
-4.110000E-06,+1.464696242629E+00,+25.482106473E-03
-4.105000E-06,+1.467412054014E+00,+38.763135818E-03
-4.100000E-06,+1.472397449614E+00,+33.719464563E-03
-4.095000E-06,+1.460524369143E+00,+29.709119433E-03
-4.090000E-06,+1.473420100664E+00,+43.496792650E-03
-4.085000E-06,+1.472979226109E+00,+24.459802212E-03
-4.080000E-06,+1.472155074153E+00,+45.399745344E-03
-4.075000E-06,+1.468358411451E+00,+22.757429348E-03
-4.070000E-06,+1.466851763368E+00,+44.269484112E-03
-4.065000E-06,+1.469553853965E+00,+25.153305125E-03
-4.060000E-06,+1.464116803191E+00,+39.610507570E-03
-4.055000E-06,+1.468582165842E+00,+31.330569803E-03
-4.050000E-06,+1.465346924620E+00,+32.537275426E-03
-4.045000E-06,+1.469948590486E+00,+37.608373179E-03
-4.040000E-06,+1.463020647918E+00,+27.888747792E-03
-4.035000E-06,+1.464030859793E+00,+41.469252185E-03
-4.030000E-06,+1.476372859506E+00,+25.534607335E-03
-4.025000E-06,+1.467484352013E+00,+41.391812660E-03
-4.020000E-06,+1.467446054428E+00,+28.037565571E-03
-4.015000E-06,+1.461810881504E+00,+38.070190784E-03
-4.010000E-06,+1.465596989754E+00,+33.528127419E-03
-4.005000E-06,+1.470656945021E+00,+33.019101256E-03
-4.000000E-06,+1.473533561028E+00,+37.186360938E-03
-3.995000E-06,+1.476218764501E+00,+29.738837756E-03
-3.990000E-06,+1.475803069853E+00,+39.974455245E-03
-3.985000E-06,+1.468318756866E+00,+28.237693066E-03
-3.980000E-06,+1.467193727627E+00,+40.044431264E-03
-3.975000E-06,+1.468357129839E+00,+29.017621867E-03
-3.970000E-06,+1.468061077449E+00,+37.218793263E-03
-3.965000E-06,+1.474367588936E+00,+31.246722217E-03
-3.960000E-06,+1.477656205531E+00,+35.014797431E-03
-3.955000E-06,+1.466432600829E+00,+34.130590641E-03
-3.950000E-06,+1.474929085804E+00,+32.992428647E-03
-3.945000E-06,+1.475147186025E+00,+36.369265388E-03
-3.940000E-06,+1.470450153142E+00,+32.233593674E-03
-3.935000E-06,+1.471169288297E+00,+35.970593564E-03
-3.930000E-06,+1.468368739737E+00,+31.700458127E-03
-3.925000E-06,+1.469323993069E+00,+37.290352450E-03
-3.920000E-06,+1.466024445077E+00,+33.977882792E-03
-3.915000E-06,+1.477796278193E+00,+35.578932913E-03
-3.910000E-06,+1.465739248694E+00,+34.004766490E-03
-3.905000E-06,+1.476807024445E+00,+36.986127898E-03
-3.900000E-06,+1.471158206122E+00,+34.326059099E-03
